1451577897;29.1;23.7;20.1;23.7;1025.2;1026.4
1451577902;29.3;23.7;20.1;23.7;1025.2;1026.4
1451577962;28.8;23.7;20.1;23.7;1025.2;1026.4
1451578020;28.8;23.8;20.2;23.8;1025.1;1026.3
1451578086;28.8;23.8;20.2;23.7;1025.2;1026.4
1451578144;28.9;23.8;20.2;23.7;1025.2;1026.4
1451578202;29.2;23.8;20.2;23.8;1025.2;1026.4
1451578262;28.9;23.8;20.2;23.8;1025.3;1026.5
1451578325;28.9;23.8;20.2;23.8;1025.2;1026.4
1451578383;29.2;23.8;20.2;23.8;1025.2;1026.5
1451579041;29.3;23.9;20.2;23.8;1025.4;1026.6
1451579409;29.3;23.9;20.2;23.9;1025.4;1026.6
1451579427;29.4;23.8;20.2;23.8;1025.2;1026.5
1451579462;29.6;23.8;20.2;23.8;1025.2;1026.5
1451579525;29.4;23.9;20.2;23.8;1025.2;1026.5
1451579578;29.5;23.9;20.3;23.8;1025.2;1026.4
1451579597;29.4;23.9;20.2;23.8;1025.2;1026.4
1451579644;29.5;23.9;20.3;23.8;1025.2;1026.5
1451579704;29.4;24.0;20.3;23.8;1025.2;1026.5
1451579762;29.4;23.9;20.2;23.8;1025.2;1026.4
1451579822;29.4;23.9;20.2;23.8;1025.3;1026.5
1451579882;29.6;23.9;20.3;23.9;1025.3;1026.5
1451579940;31.1;23.9;20.3;23.9;1025.3;1026.5
1451580003;29.6;23.9;20.3;23.9;1025.3;1026.6
